author,updated_at,like_count,comments,public
@kevinoshea1329,2023-10-26T23:46:48Z,0,Where can I purchase clovis's wine in NYC also would love to get my hands on the Cati Ribot vi bosquet?? Can anyone help me out?,True
@Jake-D-Solyst,2023-10-26T23:37:26Z,0,"If there's a chef you admire, you gotta put em in a chokehold",True
@Guitargate,2023-10-26T22:26:28Z,0,Genuine question: why are the cigarettes blurred out sometimes?,True
@Metroidsmashington,2023-10-26T22:13:34Z,0,Man is ATROCIOUSLY French lmao,True
@youngshark4822,2023-10-26T21:49:59Z,0,This dude is so arrogant,True
@thisisnotdimitri,2023-10-26T21:33:26Z,0,Go to Greece next!,True
@user-tq1zt3np6g,2023-10-26T20:28:53Z,0,🔥🔥🔥,True
@bmgmomo8842,2023-10-26T20:06:03Z,0,"This shit is on Anthony bourdain and Andrew Zimmern level of food, travel, and people. Been a fan since FTD season 0",True
@wideawakeanimal1,2023-10-26T19:56:33Z,0,"It's the Multi-lingual, Bambino!!!",True
@chirpy95442,2023-10-26T19:46:25Z,0,GOOD SHIT ACTION,True
@meeraaudio,2023-10-26T19:31:51Z,0,The French have mastered the art of chilling and just hanging out,True
@moreclips805,2023-10-26T19:31:30Z,0,You need to take alchemist out so we can hear him complain,True
@raquelpowdrell,2023-10-26T19:27:00Z,0,I LOVE YOUR LIFE. 🤗,True
@mattgron6913,2023-10-26T18:10:01Z,0,Clovis english is so much worse than before i am fucking in love with it,True
@aquariumfan2915,2023-10-26T17:35:56Z,0,"fcking nice, don't like your music but like your food revieuws and your back ground from the kitchen.",True
@justinp5483,2023-10-26T17:22:25Z,0,Paris was probably the least fun I’ve ever had on a trip(granted I went alone) but I want to go back now lol,True
@terremotocom,2023-10-26T15:37:01Z,0,OMGGG YESSS!! Love the highlights of the wine and what they are. Omg I've been waiting for this!! Thank you,True
@dennisborgmeyer020,2023-10-26T14:14:48Z,0,These episodes should last hours n hours❤,True
